Time,Time Code,Country Name,Country Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Adjusted net savings, excluding particulate emission damage (% of GNI) [NY.ADJ.SVNX.GN.ZS]","Adjusted net savings, including particulate emission damage (% of GNI) [NY.ADJ.SVNG.GN.ZS]",Gross savings (% of GDP) [NY.GNS.ICTR.ZS]
1990,YR1990,Afghanistan,AFG,..,..,..,..,..
1990,YR1990,China,CHN,..,..,15.94603132,14.5351473,36.68770303
1990,YR1990,Canada,CAN,-0.879883172,-2.36306939,6.259931469,6.173799234,17.75989076
1990,YR1990,India,IND,7.758094703,5.475367857,11.1549442,7.1099023,21.21356324
1990,YR1990,Italy,ITA,2.103447466,2.01801389,9.63681059,9.457169351,21.10747302
1990,YR1990,Japan,JPN,4.732066993,4.385159727,..,..,..
1990,YR1990,United States,USA,1.325062143,0.186883873,6.539296367,6.368013798,18.75604547
1990,YR1990,United Kingdom,GBR,0.809466709,0.508566377,3.485618446,3.318303351,16.34961533
1990,YR1990,Switzerland,CHE,..,..,..,..,..
1990,YR1990,Sudan,SDN,..,..,..,..,2.061558075
2000,YR2000,Afghanistan,AFG,..,..,..,..,..
2000,YR2000,China,CHN,9.085335719,8.229168168,16.97819774,16.10642513,35.73955353
2000,YR2000,Canada,CAN,6.827293001,5.837048268,10.49435126,10.44424778,23.77462807
2000,YR2000,India,IND,5.50747894,3.602348741,15.35091544,13.02846826,26.11902731
2000,YR2000,Italy,ITA,2.041867391,1.99564919,9.174517586,9.079049555,20.58978162
2000,YR2000,Japan,JPN,2.739181772,2.567467869,10.32837853,10.2258902,31.0308729
2000,YR2000,United States,USA,3.821248791,2.672362204,8.705900328,8.581310314,20.79841787
2000,YR2000,United Kingdom,GBR,4.037184288,3.666121805,5.659067599,5.568395003,16.5886991
2000,YR2000,Switzerland,CHE,4.114156616,3.530723157,18.67255596,18.58755875,37.55525893
2000,YR2000,Sudan,SDN,..,..,..,..,18.03560265
2001,YR2001,Afghanistan,AFG,..,..,..,..,..
2001,YR2001,China,CHN,11.28706595,10.48162707,18.88720026,18.07246504,37.26929737
2001,YR2001,Canada,CAN,1.100882607,0.008516401,8.980584461,8.930006838,22.63548905
2001,YR2001,India,IND,1.076458895,-0.735025477,15.21277971,13.00741774,26.25987903
2001,YR2001,Italy,ITA,2.357157376,2.299681958,9.86062382,9.770144402,20.99683151
2001,YR2001,Japan,JPN,0.50849852,0.266612225,8.898985061,8.800285635,29.72294203
2001,YR2001,United States,USA,1.517659789,0.51785341,7.602507528,7.47576409,19.62934025
2001,YR2001,United Kingdom,GBR,2.863952317,2.468712098,5.192605539,5.106427833,16.52402166
2001,YR2001,Switzerland,CHE,-2.362434327,-2.978306176,15.44089492,15.35757438,34.42705412
2001,YR2001,Sudan,SDN,..,..,..,..,28.63458183
2002,YR2002,Afghanistan,AFG,..,..,..,..,..
2002,YR2002,China,CHN,12.03957963,11.29142405,20.69215278,19.93546579,38.88322089
2002,YR2002,Canada,CAN,2.995351569,1.88139856,8.461307361,8.409597885,21.7247372
2002,YR2002,India,IND,4.975285824,3.126590814,16.68290469,14.57458074,28.11148557
2002,YR2002,Italy,ITA,0.064204735,-0.084696409,9.39397387,9.305508636,21.06669256
2002,YR2002,Japan,JPN,-0.450788682,-0.681998746,7.45529174,7.361501455,28.50441093
2002,YR2002,United States,USA,1.468065089,0.531000685,6.473190026,6.344822001,18.34105849
2002,YR2002,United Kingdom,GBR,2.891605931,2.456948294,5.55047282,5.465457072,16.38114171
2002,YR2002,Switzerland,CHE,-1.428586767,-2.17143584,13.80446791,13.72542235,32.57728348
2002,YR2002,Sudan,SDN,..,..,..,..,31.29764742
2003,YR2003,Afghanistan,AFG,..,..,..,..,..
2003,YR2003,China,CHN,11.87271921,11.17807333,23.48917751,22.79223237,42.41350435
2003,YR2003,Canada,CAN,3.157831316,2.23217283,8.229010515,8.176377378,21.94377715
2003,YR2003,India,IND,9.619711619,7.745775159,19.41488078,17.46207843,30.47096654
2003,YR2003,Italy,ITA,0.165751349,-0.278504634,8.816970493,8.730968366,20.39928104
2003,YR2003,Japan,JPN,1.61668049,1.399472628,7.892007958,7.802579568,28.71589589
2003,YR2003,United States,USA,1.92416513,1.051899422,5.559213923,5.432776528,17.39124584
2003,YR2003,United Kingdom,GBR,3.553380607,3.072314383,5.696928567,5.611571294,16.11861129
2003,YR2003,Switzerland,CHE,5.07984537,4.303122292,16.81936459,16.74231353,36.39187068
2003,YR2003,Sudan,SDN,..,..,..,..,31.89931039
2004,YR2004,Afghanistan,AFG,..,..,..,..,..
2004,YR2004,China,CHN,10.79285272,10.13676789,24.62298724,23.9736638,45.67236733
2004,YR2004,Canada,CAN,5.605403906,4.624665904,10.43772187,10.38709419,23.66050407
2004,YR2004,India,IND,10.20600232,8.377798163,21.57181601,19.77404185,33.33257124
2004,YR2004,Italy,ITA,1.376686731,0.722712832,8.953078437,8.873295578,20.77603129
2004,YR2004,Japan,JPN,2.420643503,2.386172203,8.682128288,8.598178858,29.31588438
2004,YR2004,United States,USA,3.851927417,2.895228354,5.678253113,5.558431602,17.69742825
2004,YR2004,United Kingdom,GBR,2.514097668,1.932506798,5.071144353,4.990915721,15.47238442
2004,YR2004,Switzerland,CHE,2.09779747,1.398357525,17.30730038,17.23757249,36.61781485
2004,YR2004,Sudan,SDN,..,..,..,..,36.9555587
2005,YR2005,Afghanistan,AFG,..,..,..,..,..
2005,YR2005,China,CHN,12.73736769,12.07627698,24.16473557,23.5529904,45.95478431
2005,YR2005,Canada,CAN,3.782347607,2.806771904,10.52418911,10.4751882,24.45175414
2005,YR2005,India,IND,8.511642329,6.784862341,22.41816964,20.71493185,34.4180229
2005,YR2005,Italy,ITA,0.175155426,-0.315886924,7.927742183,7.853027901,20.27948351
